[[353  15]] , [[354  14]]
[[ 801 1348]] , [[ 799 1350]]
[[ 596 1372]] , [[ 596 1379]]
[[ 734 1370]] , [[ 734 1379]]
[[ 798 1350]] , [[ 798 1351]]
[[ 660 1300]] , [[ 660 1305]]
[[856 590]] , [[856 591]]
[[848 596]] , [[848 597]]
[[349 925]] , [[350 924]]
[[ 396 1006]] , [[ 396 1011]]
[[150  30]] , [[150  35]]
[[770 568]] , [[769 569]]
[[272 560]] , [[272 561]]
[[833 598]] , [[833 599]]
[[645 912]] , [[646 911]]
[[850 699]] , [[849 700]]
[[ 625 1272]] , [[ 625 1276]]
[[281 576]] , [[282 575]]
[[258 556]] , [[258 557]]
[[631 911]] , [[632 910]]
[[ 653 1063]] , [[ 654 1062]]
[[382 968]] , [[382 977]]
[[363 722]] , [[361 724]]
[[255 579]] , [[256 578]]
[[376 721]] , [[375 722]]
[[457 592]] , [[458 591]]
[[334 978]] , [[334 981]]
[[633 736]] , [[633 741]]
[[808 794]] , [[808 807]]
[[809 758]] , [[810 757]]
[[ 618 1062]] , [[ 619 1061]]
[[226 554]] , [[225 555]]
[[ 542 1318]] , [[ 542 1322]]
[[473 920]] , [[474 919]]
[[774 614]] , [[774 631]]
[[ 666 1306]] , [[ 666 1310]]
[[774 608]] , [[774 623]]
[[367 958]] , [[368 957]]
[[478 918]] , [[479 917]]
[[414 954]] , [[414 959]]
[[ 350 1014]] , [[ 349 1015]]
[[467 606]] , [[468 605]]
[[478 920]] , [[479 919]]
[[227 678]] , [[228 677]]
[[233 694]] , [[234 693]]
[[587 760]] , [[588 759]]
[[458 740]] , [[458 741]]
[[449 740]] , [[449 744]]
[[233 682]] , [[234 681]]
[[247 594]] , [[248 593]]
[[ 654 1006]] , [[ 654 1013]]
[[ 654 1006]] , [[ 654 1013]]
[[592 177]] , [[592 181]]
[[ 35 485]] , [[ 34 486]]
[[ 15 450]] , [[ 15 454]]
[[321 908]] , [[322 907]]
[[646 940]] , [[646 963]]
[[310 566]] , [[310 567]]
[[310 566]] , [[310 567]]
[[854 712]] , [[854 727]]
[[661 920]] , [[662 919]]
[[566 738]] , [[566 739]]
[[853 688]] , [[853 689]]
[[  12 1037]] , [[  11 1038]]
[[   0 1048]] , [[   0 1129]]
[[   0 1048]] , [[   0 1129]]
[[560 738]] , [[560 743]]
[[560 738]] , [[560 743]]
[[310 566]] , [[308 568]]
[[496 743]] , [[496 747]]
[[326 908]] , [[327 908]]
[[850 714]] , [[849 715]]
[[302 710]] , [[302 711]]
[[848 716]] , [[848 717]]
[[ 646 1006]] , [[ 646 1011]]
[[306 567]] , [[305 568]]
[[306 567]] , [[305 568]]
[[644 700]] , [[644 701]]
[[497 742]] , [[496 743]]
[[497 742]] , [[497 743]]
[[842 766]] , [[842 771]]
[[  12 1038]] , [[  12 1045]]
[[384 736]] , [[384 740]]
[[282 714]] , [[282 729]]
[[833 768]] , [[833 769]]
[[825 660]] , [[825 661]]
[[820 670]] , [[820 687]]
[[828 768]] , [[828 779]]
[[278 568]] , [[278 569]]
[[816 652]] , [[816 673]]
[[496 744]] , [[496 748]]
[[625 933]] , [[626 932]]
[[459 608]] , [[460 607]]
[[461 608]] , [[462 607]]
